postcode,status,has_lines_below_2m,average_speed,median_speed,max_speed,has_fibre,connections,longitude,latitude,location,Ward,Lower Layer Super Output Areas (LSOA),Output Areas (OA),Middle Layer Super Output Areas (MSOA),Boundary
BS397PJ,Insufficient Data,,,,,Y,2,-2.49354579293491,51.3073136095612,"(51.307314, -2.493546)",13,69,370,23,1
BA13RX,Insufficient Premises,,,,,Y,2,-2.40179725771284,51.3934817169219,"(51.393482, -2.401797)",29,18,310,8,1
BS397QE,OK,N,4.5,4.6,6.8,Y,8,-2.50259377759127,51.3069244281065,"(51.306924, -2.502594)",13,68,363,23,1
BA22SS,OK,N,11.5,7.8,20,Y,3,-2.38442017404477,51.3591467936244,"(51.359147, -2.38442)",30,62,577,19,1
BS395US,OK,Y,1.6,1.3,3.2,N,5,-2.59298115583745,51.3354372062608,"(51.335437, -2.592981)",4,33,90,21,1
BS311QD,OK,N,19.8,18.2,30,Y,8,-2.48993047725797,51.4082162945031,"(51.408216, -2.48993)",16,46,143,3,1
BA24QH,OK,N,30,30,30,Y,6,-2.36664643491814,51.3761261970994,"(51.376126, -2.366646)",33,109,570,12,1
BA20AH,Insufficient Premises,,,,,N,2,-2.48423343857655,51.3425464259792,"(51.342546, -2.484233)",8,40,129,16,1
BA25PE,OK,N,16.1,17.1,23.2,N,28,-2.35751059174977,51.3634491698569,"(51.363449, -2.357511)",19,39,108,18,1
BS406PD,OK,Y,2.3,2.3,3.7,N,11,-2.67666137627966,51.3183395758782,"(51.31834, -2.676661)",4,32,93,21,1
BS313EQ,Insufficient Data,,,,,N,2,-2.45213744328639,51.4014536628742,"(51.401454, -2.452137)",17,81,431,16,1
BA27UD,OK,N,5.9,5.7,8.3,N,10,-2.31112339910804,51.3347271821651,"(51.334727, -2.311123)",10,113,52,10,1
BA17HH,OK,N,17.1,17.7,18.2,N,6,-2.32206150120611,51.4124847080277,"(51.412485, -2.322062)",1,25,34,10,1
BA32PW,OK,N,25,15.3,30,Y,8,-2.49153786149805,51.2831969200233,"(51.283197, -2.491538)",25,13,307,27,1
BS395RG,Insufficient Premises,,,,,N,2,-2.54573705617671,51.3303617729893,"(51.330362, -2.545737)",5,35,100,20,1
BA25HJ,OK,N,9,7.1,14.7,N,5,-2.34184010387305,51.3615088034481,"(51.361509, -2.34184)",19,37,114,18,1
BS312SP,OK,N,5.5,5.8,7.3,N,3,-2.50106961196118,51.3960753549471,"(51.396075, -2.50107)",8,41,122,16,1
BA24NA,OK,Y,11.4,7.6,30,Y,14,-2.35145318361506,51.3714611358138,"(51.371461, -2.351453)",33,110,574,12,1
BA20LG,OK,N,16.7,19.8,20.5,N,4,-2.47815817989389,51.3257747337021,"(51.325775, -2.478158)",14,87,461,16,1
BS313BL,No Data,,,,,N,0,-2.46385074412619,51.4040424267109,"(51.404042, -2.463851)",17,80,430,16,1
BS397AP,Insufficient Premises,,,,,N,2,-2.50807414582531,51.30824954443,"(51.30825, -2.508074)",13,68,364,23,1
BA28JE,OK,N,30,30,30,Y,10,-2.43076040552961,51.3125879329912,"(51.312588, -2.43076)",15,73,388,22,1
BA10TU,No Data,,,,,N,0,-2.35879075452497,51.382049079234,"(51.382049, -2.358791)",35,20,12,7,1
BA28TW,OK,Y,16.2,1.9,30,Y,39,-2.41917319649999,51.316343617171,"(51.316344, -2.419173)",15,72,396,22,1
BA33HR,OK,N,13.4,11.2,22.3,N,7,-2.44316746197413,51.2943601438585,"(51.29436, -2.443167)",12,77,411,24,1
