postcode,data status,lines < 2mbps,average speed,median speed,maximum speed,super fast available,connections
BA32XD,OK,N,22.2,12.6,>=30,Y,7
BA11SF,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
BA17AR,OK,N,16.2,4.8,>=30,Y,5
BS395ED,Insufficient Premises,N/A,N/A,N/A,N/A,N,<3
BS394ET,No Data,N/A,N/A,N/A,N/A,N,0
BA23BR,OK,N,20.4,16.7,>=30,Y,14
BS406HH,No Data,N/A,N/A,N/A,N/A,N,0
BA13EL,No Data,N/A,N/A,N/A,N/A,Y,0
BS396HF,OK,Y,3.9,3.7,7.3,N,14
BA14BT,OK,Y,23.5,7,>=30,Y,25
BA28DJ,OK,N,21.9,5,>=30,Y,7
BA23JR,Insufficient Premises,N/A,N/A,N/A,N/A,Y,<3
BA26TE,No Data,N/A,N/A,N/A,N/A,Y,0
BA32DE,OK,N,16.5,18.5,>=30,Y,26
BA21DJ,OK,N,>=30,>=30,>=30,Y,3
BS311EX,No Data,N/A,N/A,N/A,N/A,N,0
BS397SQ,OK,Y,15.2,6.5,>=30,Y,15
BA23HB,No Data,N/A,N/A,N/A,N/A,Y,0
BS408PR,OK,N,18.4,19.5,23.4,N,21
BA20NA,OK,N,16.7,17.1,22.7,N,9
BA22HT,OK,Y,>=30,20,>=30,Y,7
BA16LZ,OK,Y,16,5.9,>=30,Y,5
BA12QE,OK,N,21.4,17.6,>=30,Y,18
BA29DW,OK,Y,19.2,17.8,>=30,Y,4
BA28QA,OK,Y,2,2.2,2.9,N,13
BS313EL,OK,N,5.3,5.1,8,N,4
BA16AR,OK,N,16.5,8.8,>=30,Y,16
BA23RG,OK,N,18,15.3,>=30,Y,15
BA15TH,No Data,N/A,N/A,N/A,N/A,Y,0
BA24JF,Insufficient Premises,N/A,N/A,N/A,N/A,Y,<3
BA16HJ,OK,N,20.7,7.3,>=30,Y,19
BA32DT,OK,N,18.3,18.3,22.3,N,4
BA22UG,OK,Y,8.8,8.7,14.4,N,26
BA12BH,OK,Y,25.2,20.1,>=30,Y,8
BA12XS,OK,Y,13.7,10.2,>=30,Y,20
BA16SD,OK,N,9,5.3,21.7,Y,4
BA33HE,OK,Y,16.2,16.8,23.7,N,29
BA17PH,OK,N,11.4,12.5,17.1,N,13
BA11UN,Insufficient Data,N/A,N/A,N/A,N/A,Y,2
BS406PU,OK,Y,1.1,1.2,1.7,N,4
BA15UB,OK,Y,12.4,13.1,19.5,N,8
BA15NU,OK,N,29,16.9,>=30,Y,4
BA12UE,Insufficient Premises,N/A,N/A,N/A,N/A,Y,<3
BS394LD,OK,Y,2.4,2.4,3.4,N,5
BS395AL,Insufficient Data,N/A,N/A,N/A,N/A,N,2
