Ref,Description,LocationDescription,Status,Start,End,OrganisationName,TrafficType,Easting,Northing,Latitude,Longitude,Location,Ward,Lower Layer Super Output Areas (LSOA),Output Areas (OA),Middle Layer Super Output Areas (MSOA),Boundary
30014055,"Detailed Examination of Underbridge MLN1 111m 26ch, using a MEWP / ladder and small hand tools. Works to be carried out  between the hours of 22:00hrs Thursday 28th July to 06.00hrs  Friday 29th July 2016.",Bridge (Rail Over Road)  Named: GAS LANE,Completed,28/07/2016 12:00:00 AM,29/07/2016 12:00:00 AM,NR-WESTERN TERRITORY STRUCTURES ENGINEER,Road Closure,368788,166789,51.399267745382289,-2.450045979576766,"(51.39926774538229, -2.450045979576766)",17,81,424,16,1
30015230,Poke out from existing chamber with 1m of Ducting for 3rd party interconnect,Opposite Crabtree Cottage,Completed,04/08/2016 12:00:00 AM,08/08/2016 12:00:00 AM,001 Hibernia Atlantic UK Limited,Give and Take,362976,164433,51.377733615040341,-2.533340659244088,"(51.37773361504034, -2.533340659244088)",7,74,398,20,1
600055,INSTALL 32NO 10M TUBULAR COLUMNS.,FARRINGTON GURNEYBRISTOLBATH AND NORTH EAST SOMERSET,Completed,22/07/2016 12:00:00 AM,27/07/2016 12:00:00 AM,SSE Street Lighting,Signing Only,363158,155409,51.296607736413499,-2.529789282021967,"(51.2966077364135, -2.5297892820219667)",3,43,133,23,1
30015111,Safe Access to  Underground BT footway and carriageway boxes for fibre cabling and jointing work in existing duct. Required for new customer connection,OPP Percy place on London rd Walcot Bath BA1 6AR,Completed,27/07/2016 12:00:00 AM,28/07/2016 12:00:00 AM,BT,Two-Way Signals,375856.37,166099.75,51.393416715717841,-2.348396745073318,"(51.39341671571784, -2.3483967450733183)",36,95,489,6,1
30014066,Section 81/Defect,Glenvue House,Completed,01/08/2016 12:00:00 AM,03/08/2016 12:00:00 AM,WESSEX WATER (Bath Operations),Road Closure,365275,156282,51.304590744373613,-2.499512827645126,"(51.30459074437361, -2.4995128276451264)",13,69,366,23,1
30015138,"NEW NETWORK TO CONSTRUCT, CHAMBERS TO BUILD AND EXISTING CHAMBERS TO UPGRADE, INSTALLING SWEPT TEE'S",F/W S/O 15/16 ST GEORGES HOUSE IN NELSON LANE TO F/W S/O 1 UPPRER BRISTOL ROAD IN NELSON LANE,Completed,21/07/2016 12:00:00 AM,03/08/2016 12:00:00 AM,NATIONAL NOTICING DEPARTMENT,Signing Only,374290.99,165037.34,51.383795020950586,-2.370817675072598,"(51.383795020950586, -2.370817675072598)",34,115,209,9,1
30015346,Repair Service,6,Completed,03/08/2016 12:00:00 AM,05/08/2016 12:00:00 AM,WESSEX WATER (Bath Operations),Signing Only,376390,167106,51.402486940121925,-2.340794480323744,"(51.402486940121925, -2.340794480323744)",23,58,231,4,1
202679,"New build chamber in verge, adjacent to Hibernia chamber",Junction of Publow Lane/Peats Hill near ROSE COTTAGE,Completed,26/07/2016 12:00:00 AM,28/07/2016 12:00:00 AM,Bath and North East Somerset Council,Signing Only,362498.19,164326.81,51.376747372847674,-2.540194162799291,"(51.376747372847674, -2.5401941627992906)",7,74,398,20,1
30015097,New Connection,Entrance to 38,Completed,18/07/2016 12:00:00 AM,20/07/2016 12:00:00 AM,WESSEX WATER (Bath Operations),Signing Only,374313.61,163333.89,51.368479535855805,-2.370368935481761,"(51.368479535855805, -2.3703689354817614)",18,5,257,17,1
30015241,Poke out from existing chamber with 1m of Ducting for 3rd party interconnect,Opposite The Globe Public House,Completed,01/08/2016 12:00:00 AM,03/08/2016 12:00:00 AM,001 Hibernia Atlantic UK Limited,Two-Way Signals,370109,165231,51.385330600608427,-2.430926125166637,"(51.38533060060843, -2.4309261251666374)",9,28,68,22,1
30009927,"REPLACE 151M OF 6IN, 4IN CI WITH 151M OF 75MM, 125MM PE AND REPLACE OR TRANSFER APPROX 12 SERVICES.",Outside of Rose bank,Completed,20/06/2016 12:00:00 AM,26/08/2016 12:00:00 AM,WGA - BRISTOL & BATH,Road Closure,376035,168368,51.413819178039994,-2.34598337954447,"(51.413819178039994, -2.3459833795444704)",1,25,51,10,1
30015167,Decayed pole change - erect new pole,Junction of Court Hill and Rankers Lane,Completed,08/08/2016 12:00:00 AM,10/08/2016 12:00:00 AM,1164 SE MENDIP CONSTRUCTION,Signing Only,364486,164374,51.377299910050311,-2.51164033103797,"(51.37729991005031, -2.5116403310379702)",8,41,123,16,1
30015154,Urgent excavation in highway to locate and repair LV cable fault.,Outside 8,Completed,16/07/2016 11:40:00 PM,26/07/2016 12:00:00 AM,1163 NE MENDIP CONSTRUCTION,Give and Take,374260,163778,51.372470301284125,-2.371171326646664,"(51.372470301284125, -2.3711713266466643)",18,5,253,17,1
30015353,Repair Service Leak,5,Completed,30/07/2016 09:00:00 AM,03/08/2016 12:00:00 AM,WESSEX WATER (Bath Operations),Signing Only,377995.46,168263.36,51.412958190348398,-2.317787744950966,"(51.4129581903484, -2.317787744950966)",1,25,34,10,1
202637,REVISED DATE - Carriageway micro asphalt surfacing work - 2 days approx.,Shickle Grove,Completed,02/08/2016 12:00:00 AM,03/08/2016 12:00:00 AM,Bath and North East Somerset Council,Road Closure,373499.06,162176.55,51.35803574802874,-2.381982928455844,"(51.35803574802874, -2.3819829284558436)",30,19,329,19,1
30015341,Section 81/Defect,"The Gatehouse, The Grange",Completed,03/08/2016 12:00:00 AM,05/08/2016 12:00:00 AM,WESSEX WATER (Bath Operations),Signing Only,374629,161254,51.349792452535326,-2.365689449134033,"(51.349792452535326, -2.365689449134033)",10,113,59,10,1
600042,Replacement of Street Lights in Morris Lane,MORRIS LANE BATHEASTONBATHBATH AND NORTH EAST SOMERSET,Completed,14/11/2016 12:00:00 AM,21/12/2016 12:00:00 AM,SSE Street Lighting,Signing Only,378458,167211.5,51.403518277183068,-2.311072847069416,"(51.40351827718307, -2.311072847069416)",1,26,42,10,1
30015172,"Build 1 concrete chamber  915mm x 445mm x 965mm deep in Footway,Install 4m of 1 way poly duct in Verge,Provide 1 core drill(s) into jointbox or building","81M SOUTH OF JUNC LOWER BRISTOL ROAD, STONY LANE",Completed,27/07/2016 12:00:00 AM,29/07/2016 12:00:00 AM,BT,No Carriageway Incursion,371427,165500,51.38781744449178,-2.412008537369,"(51.38781744449178, -2.4120085373689997)",9,28,68,22,1
30012669,ABANDON 198M OF 5IN CI AND LAY 199M OF 180MM PE REINFORCEMENT AND REPLACE OR TRANSFER APPROX 1 SERVICES,"E:377727, N:162231 - E:377534, N:162200",Completed,25/07/2016 12:00:00 AM,02/09/2016 12:00:00 AM,BATH,Road Closure,377725,162231,51.358707620161283,-2.321296204928083,"(51.35870762016128, -2.321296204928083)",10,113,56,10,1
