id,uri,title,published,isbn,author
GBA4Z0871,http://bnb.data.bl.uk/id/resource/009063722,A penny for your thoughts,2004,0786257490,Mindy Starns Clark
GBA0V7280,http://bnb.data.bl.uk/id/resource/008393863,He rode alone,2000,0754041298,Steve Frazee
GBA1X8287,http://bnb.data.bl.uk/id/resource/011352545,Thunderbird Range,2001,0754081419,Lauran Paine
GB97Z6497,http://bnb.data.bl.uk/id/resource/007713654,Search for the Fox,1996,0783818505,Stephen Overholser
GB9429183,http://bnb.data.bl.uk/id/resource/009444571,The man from Laramie,1994,074514599X,T. T. Flynn
GB8739551,http://bnb.data.bl.uk/id/resource/009444321,A place in the sun,1988,074510648X,Nina Lambert
GB9002460,http://bnb.data.bl.uk/id/resource/008422380,Mission to Argana,1990,0745111270,Jean Marsh
GBA795148,http://bnb.data.bl.uk/id/resource/014407671,Thief!,2008,1405662239,Malorie Blackman
GBA806628,http://bnb.data.bl.uk/id/resource/014493557,Friday nights,2008,1405686243,Joanna Trollope
GB98X9024,http://bnb.data.bl.uk/id/resource/008391800,She's leaving home,1998,0754011488,Edwina Currie
GB8537783,http://bnb.data.bl.uk/id/resource/009445281,A cool day for killing,1986,0745191010,William Haggard
GBA888902,http://bnb.data.bl.uk/id/resource/014669246,Unforgotten,2008,140841323X,Clare Francis
GBA486179,http://bnb.data.bl.uk/id/resource/013053041,The Ancaster demons,2004,1405630221,Norman Russell
GBA789733,http://bnb.data.bl.uk/id/resource/013785232,The player's boy,2006,1904417922,Antonia Forest
GBA1Z3366,http://bnb.data.bl.uk/id/resource/008392173,Lawrence Sanders' McNally's folly : an Archy McNully novel,2000,0786226439,Vincent Lardo
GBA698810,http://bnb.data.bl.uk/id/resource/013608073,No age to die,2006,1405637072,John Dean
GB7627817,http://bnb.data.bl.uk/id/resource/010103489,"By the Angel, Islington",1976,0859971600,March Cost
GBA9B1527,http://bnb.data.bl.uk/id/resource/015421844,Mist over the Mersey,2010,140846036X,Lyn Andrews
GBB102933,http://bnb.data.bl.uk/id/resource/015723166,I'll be home for Christmas,2011,1408493292,Fern Michaels
GB9842578,http://bnb.data.bl.uk/id/resource/008373220,The water wizard : the extraordinary power of natural water,1998,1858600480,Viktor Schauberger
GBB266592,http://bnb.data.bl.uk/id/resource/010279695,"Lady, here's your wreath",2003,0754073750,James Hadley Chase
GBA971692,http://bnb.data.bl.uk/id/resource/015331868,"Friends, lovers and other indiscretions)",2009,140843069X,Fiona Neill
GBB325797,http://bnb.data.bl.uk/id/resource/007632322,Clea's moon,2003,0754019802,Edward Wright
GB9506483,http://bnb.data.bl.uk/id/resource/009444593,Law man,1994,074514621X,Lee Leighton
GB7417982,http://bnb.data.bl.uk/id/resource/010972270,Trader Horn,1974,0855949848,Trader Horn
GBA866740,http://bnb.data.bl.uk/id/resource/014615061,Scorch,2008,1594146578,Marc Paoletti
GBA636887,http://bnb.data.bl.uk/id/resource/013437773,Massacre Ridge,2006,1405635770,Lewis B. Patten
GB97Y9814,http://bnb.data.bl.uk/id/resource/009445158,An Oxford tragedy,1997,0745187072,J. C. Masterman
GB7501878,http://bnb.data.bl.uk/id/resource/011597439,The court of love,1974,0859970817,Peter Bourne
GBA048806,http://bnb.data.bl.uk/id/resource/010733055,Chocolate,1999,0752535536,Jacqueline Bellefontaine
GBA8C7524,http://bnb.data.bl.uk/id/resource/014555864,Jump in! : book of the film,2007,1407504487,M. C. King
GBB051624,http://bnb.data.bl.uk/id/resource/014546860,The amazing activity handbook,2007,1405493267,Gaby Goldsack
GB96Y4451,http://bnb.data.bl.uk/id/resource/007713504,A house in the sunflowers : summer in Aquitaine,1996,0786206225,Ruth Silvestre
GB99X1669,http://bnb.data.bl.uk/id/resource/008391941,Edith's book,1999,0754012921,Edith Velmans-Van Hessen
GBB067687,http://bnb.data.bl.uk/id/resource/015566771,Wicked all day,2010,1410423441,Liz Carlyle
GBA531964,http://bnb.data.bl.uk/id/resource/013175621,Renegade roundup,2005,1405631643,Tom West
GBB292674,http://bnb.data.bl.uk/id/resource/010910264,Hotel hostess,2002,0754049655,Faith Baldwin
GBB004532,http://bnb.data.bl.uk/id/resource/015462352,Maximum ride : the final warning,2009,1405663618,James Patterson
GBA888801,http://bnb.data.bl.uk/id/resource/014669145,The fright of the iguana,2008,1405645180,Linda O. Johnston
GB95S2345,http://bnb.data.bl.uk/id/resource/007713049,The sunrise guns,1995,0745129897,William Colt MacDonald
GB7713866,http://bnb.data.bl.uk/id/resource/010103540,Paradise Place,1977,0859972194,Warwick Deeping
GBA601908,http://bnb.data.bl.uk/id/resource/013348993,Spook school,2006,1405661143,Sue Purkiss
GBA994996,http://bnb.data.bl.uk/id/resource/015381087,Parky : my autobiography,2009,140843038X,Michael Parkinson
GBA036639,http://bnb.data.bl.uk/id/resource/010733124,Essential Michelangelo,2000,0752534890,Kirsten Bradbury
GB97Y9804,http://bnb.data.bl.uk/id/resource/007714268,Elizabeth and her German garden,1997,0745188958,Elizabeth Von Arnim
GBA0Z5229,http://bnb.data.bl.uk/id/resource/008393751,Belladonna,2000,0783888627,Charlotte Grey
GBA2X2172,http://bnb.data.bl.uk/id/resource/008394599,Groosham Grange,2002,0754078191,Anthony Horowitz
GBA4X0594,http://bnb.data.bl.uk/id/resource/012880525,Sons of fortune,2003,0754019691,Jeffrey Archer
GB8527639,http://bnb.data.bl.uk/id/resource/009443924,Pageant of murder,1985,0745102476,Gladys Mitchell
GBA561016,http://bnb.data.bl.uk/id/resource/013256096,Now you see it : a Toby Peters mystery,2005,0786273836,Stuart M. Kaminsky
GB9595362,http://bnb.data.bl.uk/id/resource/009444897,What makes a Goya a Goya?,1995,0745152759,Richard Mühlberger
GBA680417,http://bnb.data.bl.uk/id/resource/013557712,This time of dying,2006,1405615613,Reina James
GB8802050,http://bnb.data.bl.uk/id/resource/009445509,The dawn riders,1988,1555044484,Dan Roberts
GBA0V1771,http://bnb.data.bl.uk/id/resource/008392086,The girl at the Lion D'Or,2001,0754014428,Sebastian Faulks
GBA1Z3361,http://bnb.data.bl.uk/id/resource/008392192,The falls,2001,0754015513,Ian Rankin
GB9970899,http://bnb.data.bl.uk/id/resource/010732957,Farmyard adventures,1999,0752530259,Graham Marks
GBA8A9684,http://bnb.data.bl.uk/id/resource/014754458,Stripped,2008,1597227544,Brian Freeman
GBA8A9843,http://bnb.data.bl.uk/id/resource/014754617,No mercy,2008,1408421054,Jack Curtis
GBB081376,http://bnb.data.bl.uk/id/resource/015595019,The great silence : 1918-1920 : living in the shadow of the Great War,2010,1408486334,Juliet Nicolson
GB7716055,http://bnb.data.bl.uk/id/resource/010535171,"Mandoa, Mandoa! : a comedy of irrelevance",1977,0855946148,Winifred Holtby
GBA902765,http://bnb.data.bl.uk/id/resource/014870148,Stone goblins,2009,1405663227,David Melling
GB95Q9196,http://bnb.data.bl.uk/id/resource/007712912,An imperfect spy,1995,074512562X,Amanda Cross
GB99V1380,http://bnb.data.bl.uk/id/resource/008391958,The pilgrim of hate,2000,0754013103,Ellis Peters
GBA888749,http://bnb.data.bl.uk/id/resource/014669093,East End tales,2008,1405622326,Gilda O'Neill
GBA1X5723,http://bnb.data.bl.uk/id/resource/008394172,All for love,2001,0754044742,Gillian Kaye
GBB271317,http://bnb.data.bl.uk/id/resource/010916243,The paper princess,2002,0783896263,Marion Chesney
